CustomerID,Name,Email,Phone,Address,City,State,ZipCode,Country,RegistrationDate
C0001,Jason Mcclure,stronggeorge@hotmail.com,765-502-2787x32196,"65749 Diana Pine Suite 147, West Katie, UT 96688",Hopkinsville,NJ,88085,Svalbard & Jan Mayen Islands,2023-01-16
C0002,Katie Mercer,jasoncollins@yahoo.com,(951)514-7082x64697,"8620 Holland Courts Apt. 581, Robertberg, IL 27976",Lake Carlos,LA,54277,Andorra,2022-01-14
C0003,Matthew Taylor,tiffanychan@hotmail.com,502.443.2254x10798,"473 Robinson Valleys Apt. 044, Nelsonland, ID 51880",Brandonview,NJ,32046,Western Sahara,2024-11-29
C0004,Patrick Davis,alexander48@hotmail.com,618.907.6633x7826,"39076 Ashley Mountain Apt. 075, Michellemouth, SD 98089",South Kimberlyville,NY,66107,Svalbard & Jan Mayen Islands,2024-01-13
C0005,Matthew Curry,andreavincent@tyler.info,+1-352-016-0723x4725,"105 Shepard Rue Suite 174, New Christopherbury, AK 64540",Rojasland,NE,94790,Algeria,2022-01-24
C0006,Mr. Edward Johnson,herreralindsey@yahoo.com,+1-981-081-1009x662,"Unit 0311 Box 1850, DPO AA 77894",Kington,TX,76201,Guatemala,2023-06-10
C0007,Jennifer Mosley,cynthiaflores@jensen-mccormick.com,+1-355-267-1705x36981,"USCGC Ward, FPO AP 59516",Edwardland,ME,83738,United Arab Emirates,2022-10-09
C0008,Michael Pierce,robert08@harris.com,+1-931-725-2201x2533,"44696 Samuel Key Suite 326, Rebeccamouth, NC 54158",South Jeremyton,WI,69742,Belarus,2020-03-14
C0009,Kimberly Hancock,jonathanvance@rogers-johns.com,001-199-766-3586x87558,"PSC 1928, Box 1641, APO AP 26475",East Brian,RI,45585,Maldives,2023-11-17
C0010,Brittany Fernandez,mercervanessa@collins.org,0345197459,"1977 Farmer Glen Suite 400, East David, CT 15865",Walkerborough,CT,96957,Bosnia and Herzegovina,2024-08-25
C0011,Amanda Prince,traceycharles@collier.org,856-896-5456,"14954 Jennifer Park, Jamesfort, WV 57013",Port Kylie,OH,68044,Denmark,2020-11-02
C0012,Amy Watson,vkelly@yahoo.com,001-474-777-9500x93278,"1975 Green River, Mollystad, IN 93394",Port Nicholasland,HI,66158,Bouvet Island (Bouvetoya),2023-10-17
C0013,Debra Willis,cunninghambrandon@anderson.com,(177)555-8379,"629 Cameron Hollow, New Christopher, SD 61952",Jacquelineside,AZ,94347,Nicaragua,2021-03-21
C0014,Kevin Horton,erinhess@harrell.net,2075547716,"46280 Hamilton Squares Suite 008, Fosterland, MA 80413",Lopezburgh,CT,80750,Belize,2021-05-04
C0015,Michael Davis,sday@bell-stephens.biz,+1-472-710-4707,"24422 Stewart Heights Apt. 724, Howeshire, IA 97674",Holmesfort,ID,18161,Brunei Darussalam,2022-06-28
C0016,Don Jones,vasquezrobert@hotmail.com,973.797.8431,"1235 Roberto Motorway, Bauerburgh, MD 16395",Davisside,CO,95916,Yemen,2023-10-03
